"filename", "language", "Python", "XML", "C++", "reStructuredText", "Properties", "JSON", "ROS Message", "comment", "blank", "total"
"/home/nvidia/code/movebase_comment/base_local_planner/CHANGELOG.rst", "reStructuredText", 0, 0, 0, 173, 0, 0, 0, 0, 29, 202
"/home/nvidia/code/movebase_comment/base_local_planner/blp_plugin.xml", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/nvidia/code/movebase_comment/base_local_planner/cfg/BaseLocalPlanner.cfg", "Properties", 0, 0, 0, 0, 33, 0, 0, 3, 22, 58
"/home/nvidia/code/movebase_comment/base_local_planner/cfg/LocalPlannerLimits.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 7, 4, 11
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/costmap_model.h", "C++", 0, 0, 19, 0, 0, 0, 0, 75, 9, 103
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/footprint_helper.h", "C++", 0, 0, 22, 0, 0, 0, 0, 56, 10, 88
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/goal_functions.h", "C++", 0, 0, 41, 0, 0, 0, 0, 100, 13, 154
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/latched_stop_rotate_controller.h", "C++", 0, 0, 55, 0, 0, 0, 0, 22, 17, 94
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/line_iterator.h", "C++", 0, 0, 96, 0, 0, 0, 0, 29, 19, 144
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/local_planner_limits.h", "C++", 0, 0, 73, 0, 0, 0, 0, 37, 12, 122
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/local_planner_util.h", "C++", 0, 0, 37, 0, 0, 0, 0, 44, 31, 112
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/map_cell.h", "C++", 0, 0, 15, 0, 0, 0, 0, 44, 9, 68
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/map_grid.h", "C++", 0, 0, 53, 0, 0, 0, 0, 118, 30, 201
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/map_grid_cost_function.h", "C++", 0, 0, 40, 0, 0, 0, 0, 82, 18, 140
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/map_grid_cost_point.h", "C++", 0, 0, 24, 0, 0, 0, 0, 33, 4, 61
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/map_grid_visualizer.h", "C++", 0, 0, 20, 0, 0, 0, 0, 45, 7, 72
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/obstacle_cost_function.h", "C++", 0, 0, 34, 0, 0, 0, 0, 43, 13, 90
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/odometry_helper_ros.h", "C++", 0, 0, 26, 0, 0, 0, 0, 53, 14, 93
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/oscillation_cost_function.h", "C++", 0, 0, 25, 0, 0, 0, 0, 47, 18, 90
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/planar_laser_scan.h", "C++", 0, 0, 14, 0, 0, 0, 0, 40, 4, 58
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/point_grid.h", "C++", 0, 0, 106, 0, 0, 0, 0, 189, 32, 327
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/prefer_forward_cost_function.h", "C++", 0, 0, 18, 0, 0, 0, 0, 36, 11, 65
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/simple_scored_sampling_planner.h", "C++", 0, 0, 22, 0, 0, 0, 0, 79, 18, 119
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/simple_trajectory_generator.h", "C++", 0, 0, 57, 0, 0, 0, 0, 96, 21, 174
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/trajectory.h", "C++", 0, 0, 24, 0, 0, 0, 0, 80, 15, 119
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/trajectory_cost_function.h", "C++", 0, 0, 22, 0, 0, 0, 0, 56, 13, 91
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/trajectory_inc.h", "C++", 0, 0, 10, 0, 0, 0, 0, 33, 5, 48
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/trajectory_planner.h", "C++", 0, 0, 126, 0, 0, 0, 0, 211, 49, 386
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/trajectory_planner_ros.h", "C++", 0, 0, 83, 0, 0, 0, 0, 114, 35, 232
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/trajectory_sample_generator.h", "C++", 0, 0, 14, 0, 0, 0, 0, 51, 11, 76
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/trajectory_search.h", "C++", 0, 0, 13, 0, 0, 0, 0, 48, 11, 72
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/twirling_cost_function.h", "C++", 0, 0, 13, 0, 0, 0, 0, 43, 9, 65
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/velocity_iterator.h", "C++", 0, 0, 48, 0, 0, 0, 0, 42, 10, 100
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/voxel_grid_model.h", "C++", 0, 0, 69, 0, 0, 0, 0, 92, 19, 180
"/home/nvidia/code/movebase_comment/base_local_planner/include/base_local_planner/world_model.h", "C++", 0, 0, 40, 0, 0, 0, 0, 63, 12, 115
"/home/nvidia/code/movebase_comment/base_local_planner/msg/Position2DInt.msg", "ROS Message", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/home/nvidia/code/movebase_comment/base_local_planner/out/linecount.json", "JSON", 0, 0, 0, 0, 0, 425, 0, 0, 0, 425
"/home/nvidia/code/movebase_comment/base_local_planner/package.xml", "XML", 0, 43, 0, 0, 0, 0, 0, 0, 8, 51
"/home/nvidia/code/movebase_comment/base_local_planner/setup.py", "Python", 7, 0, 0, 0, 0, 0, 0, 1, 3, 11
"/home/nvidia/code/movebase_comment/base_local_planner/src/costmap_model.cpp", "C++", 0, 0, 65, 0, 0, 0, 0, 55, 26, 146
"/home/nvidia/code/movebase_comment/base_local_planner/src/footprint_helper.cpp", "C++", 0, 0, 169, 0, 0, 0, 0, 50, 30, 249
